.mpc	application/x-project
.tar	application/x-tar
.abc	text/vnd.abc
.hdf	application/x-hdf
.mc$	application/x-magic-cap-package-1.0
.cxx	text/plain
.m1v	video/mpeg
.nvd	application/x-navidoc
.aab	application/x-authorware-bin
.bsh	application/x-bsh
.ai	application/postscript
.uni	text/uri-list
.skt	application/x-koan
.f77	text/x-fortran
.sst	application/vnd.ms-pki.certstore
.step	application/step
.mid	application/x-midi
.f90	text/plain
.pvu	paleovu/x-pv
.asx	application/x-mplayer2
.wiz	application/msword
.xlw	application/excel
.nc	application/x-netcdf
.niff	image/x-niff
.pfunk	audio/make
.web	application/vnd.xara
.pre	application/x-freelance
.sgml	text/sgml
.rpm	audio/x-pn-realaudio-plugin
.p7c	application/pkcs7-mime
.jav	text/plain
.mcf	image/vasa
.wrl	application/x-world
.gzip	application/x-gzip
.qif	image/x-quicktime
.vmf	application/vocaltec-media-file
.unis	text/uri-list
.qtc	video/x-qtc
.lsp	application/x-lisp
.arc	application/octet-stream
.java	text/plain
.wb1	application/x-qpro
.p10	application/pkcs10
.me	application/x-troff-me
.wml	text/vnd.wap.wml
.aam	application/x-authorware-map
.iefs	image/ief
.x-png	image/png
.py	text/x-script.phyton
.s3m	audio/s3m
.flx	text/vnd.fmi.flexstor
.wav	audio/wav
.gsm	audio/x-gsm
.g	text/plain
.cha	application/x-chat
.pkg	application/x-newton-compatible-pkg
.idc	text/plain
.mpeg	video/mpeg
.qd3	x-world/x-3dmf
.rv	video/vnd.rn-realvideo
.cer	application/pkix-cert
.src	application/x-wais-source
.aiff	audio/aiff
.gl	video/gl
.sgm	text/sgml
.mrc	application/marc
.htt	text/webviewhtml
.dxf	application/dxf
.dcr	application/x-director
.fpx	image/vnd.fpx
.dl	video/dl
.pdf	application/pdf
.tcl	application/x-tcl
.au	audio/basic
.naplps	image/naplps
.arj	application/arj
.mjpg	video/x-motion-jpeg
.bmp	image/bmp
.unv	application/i-deas
.mpx	application/x-project
.eps	application/postscript
.mpg	audio/mpeg
.xbm	image/x-xbitmap
.spr	application/x-sprite
.hpgl	application/vnd.hp-hpgl
.js	application/x-javascript
.xlt	application/excel
.ccad	application/clariscad
